Team,pts_game,rush_yd_game,pass_yd_game,tt_ytd_game,df_pts_game,df_rush_yd_game,df_pass_yd_game,df_tt_ytd_game,,,,
Kansas City Chiefs,29.2,115.9,297.8,413.6,21.7,107.2,220.9,328.2,,,,
Buffalo Bills,28.4,139.5,258.1,397.6,17.9,104.6,214.6,319.1,,,,
Philadelphia Eagles,28.1,147.6,241.5,389.1,20.2,121.6,179.8,301.5,,,,
Detroit Lions,26.6,128.2,251.8,380,25.1,146.5,245.8,392.4,,,,
San Francisco 49ers,26.5,138.8,226.8,365.6,16.3,77.7,222.9,300.6,,,,
Miami Dolphins,23.4,99.2,265.4,364.5,23.5,103,234.8,337.8,,,,
Minnesota Vikings,24.9,97.7,263.8,361.5,25.1,123.1,265.6,388.7,,,,
Cincinnati Bengals,26.1,95.5,265,360.5,20.1,106.6,229.1,335.7,,,,
Los Angeles Chargers,23,89.6,269.6,359.3,22.6,145.8,200.4,346.1,,,,
Jacksonville Jaguars,23.8,124.5,232.9,357.4,20.6,114.8,238.5,353.3,,,,
Dallas Cowboys,27.5,135.2,219.8,354.9,20.1,129.3,200.9,330.2,,,,
Las Vegas Raiders,23.2,121.1,231.4,352.5,24.6,122.8,242.9,365.6,,,,
Seattle Seahawks,23.9,120.1,231.4,351.5,23.6,150.2,211.5,361.7,,,,
Cleveland Browns,21.2,146.5,202.6,349.1,22.4,135,196.2,331.2,,,,
Tampa Bay Buccaneers,18.4,76.9,269.8,346.7,21.1,120.7,203.6,324.3,,,,
Baltimore Ravens,20.6,160,178.8,338.8,18.5,92.1,232.2,324.3,,,,
Green Bay Packers,21.8,124.3,213.6,337.9,21.8,139.5,197,336.5,,,,
New York Giants,21.5,148.2,185.7,333.9,21.8,144.2,214,358.2,,,,
New Orleans Saints,19.4,116.6,217.2,333.8,20.3,130.5,184.4,314.8,,,,
Washington Commanders,18.9,126.1,204.2,330.3,20.2,113.3,191.3,304.6,,,,
Denver Broncos,16.9,113.8,211.3,325.1,21.1,109.8,210.2,320,,,,
Arizona Cardinals,20,110.2,213.3,323.5,26.4,118.6,230.3,348.9,,,,
Pittsburgh Steelers,18.1,121.9,200.6,322.6,20.4,108.1,222.3,330.4,,,,
Atlanta Falcons,21.5,159.9,158.8,318.6,22.7,130.2,231.9,362.1,,,,
New York Jets,17.4,99.2,219,318.2,18.6,121.6,189.4,311.1,,,,
New England Patriots,21.4,106.6,208,314.6,20.4,105.5,216.5,322,,,,
Indianapolis Colts,17,109.8,201.9,311.6,25.1,124.1,209.9,334,,,,
Chicago Bears,19.2,177.3,130.5,307.8,27.2,157.3,218.6,375.9,,,,
Carolina Panthers,20.4,130,176.2,306.2,22,122.6,227.5,350.2,,,,
Tennessee Titans,17.5,125.4,171.4,296.8,21.1,76.9,274.8,351.6,,,,
Houston Texans,17,86.8,196.7,283.5,24.7,170.2,209.3,379.5,,,,
Los Angeles Rams,18.1,97.7,182.8,280.5,22.6,115.1,226,341.1,,,,